Scale,Experiment Mode,Model Name,Category,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Runtime-Seconds
5sec,gan_augmented,GRU,temporal_deep,0.6484039845851814,0.5526483050847457,0.4891701828410689,0.5189753792588908,0.6529987971388893,61.506036043167114
5sec,gan_augmented,LSTM,temporal_deep,0.646004508107322,0.5467082746124421,0.5092358180965776,0.5273071508325647,0.6499498146713089,53.99308514595032
5sec,gan_augmented,LogisticRegression,classical,0.5825274485566786,0.4609658331742699,0.45288326300984527,0.4568888048053729,0.5455110041233118,127.90224480628967
5sec,gan_augmented,SVM,classical,0.3739547735039628,0.31770398798598365,0.5355836849507736,0.39882697947214074,0.3795485049170487,116.35807204246521
5sec,real_only,RandomForest,classical,0.7419835672216971,0.7063381910710155,0.5726207219878106,0.632489254828854,0.7299456406104663,9.820692539215088
5sec,real_only,XGBoost,classical,0.7135897622336944,0.6618654896039029,0.5342709798406001,0.5912628411331328,0.7149211344971542,10.72874903678894
5sec,real_only,Transformer,temporal_deep,0.6715262124627354,0.5923198912550974,0.490295358649789,0.5365002821525676,0.661164205532493,36.18035936355591
5sec,real_only,TCN,temporal_deep,0.665454809859667,0.5774319889912142,0.5114861697140178,0.5424622116149562,0.6756699271610515,23.297075986862183
5sec,real_only,LSTM,temporal_deep,0.6591289173271286,0.5731970471323112,0.473230192217534,0.5184386235233693,0.6657811945280218,24.141427516937256
5sec,real_only,CNN-LSTM,temporal_deep,0.6584018032429289,0.5707752370329058,0.4797937177684013,0.5213448802852776,0.6653001753556533,27.990520238876343
5sec,real_only,GRU,temporal_deep,0.657856467679779,0.5666312433581296,0.4999531176746367,0.5312079701120797,0.6613798208015605,23.608566761016846
5sec,real_only,KNN,classical,0.6480040718388715,0.5589399208538194,0.43703703703703706,0.49052830982950957,0.6532214833126788,11.932050943374634
5sec,real_only,SVM,classical,0.6097578710099615,0.3028571428571429,0.00496952648851383,0.00977859778597786,0.3301034220033137,39.79071569442749
5sec,real_only,LogisticRegression,classical,0.5877626699629172,0.46784351145038167,0.45972808251289266,0.46375029557815084,0.5653807168577856,44.380868911743164
